1231_2	squirrel
1231_2	chipmunk
1231_2	groundhog
1231_2	dog
1231_2	cat
1231_2	lion
1231_2	tiger
1231_2	bear
1231_2	moose
1231_2	deer
1231_2	fishercat
1231_2	fox
1231_2	chicken
1231_2	robin
1231_2	greyhound
1231_2	duck
1231_2	goose
1231_2	snake
1231_2	osprey
1231_2	eagle
1231_4	lion
1231_4	tiger
1231_4	bear
1231_4	dog
1231_4	cat
1231_4	wolf
1231_4	coyote
1231_4	giraffe
1231_4	zebra
1231_4	deer
1231_4	antelope
1231_4	rhinocerous
1231_4	pig
1231_4	robin
1231_4	hen
1231_4	ostrich
1231_4	elephant
1231_4	snake
1231_4	otter
1231_6	cat
1231_6	dog
1231_6	ardvark
1231_6	rhino
1231_6	tiger
1231_6	lion
1231_6	catamount
1231_6	wolf
1231_6	leopard
1231_6	fox
1231_6	crocodile
1231_6	alligator
1231_6	fish
1231_6	turtle
1231_6	frog
1232_1	dog
1232_1	cat
1232_1	giraffe
1232_1	zebra
1232_1	lion
1232_1	turkey
1232_1	ckicken
1232_1	spider
1232_1	tarantula
1232_1	fish
1232_1	fox
1232_1	deer
1232_1	moose
1232_1	squirrel
1232_1	guineapig
1232_1	mouse
1232_1	bird
1232_1	swan
1232_3	dog
1232_3	cat
1232_3	mouse
1232_3	spider
1232_3	ant
1232_3	fly
1232_3	bird
1232_3	giraffe
1232_3	zebra
1232_3	lion
1232_3	tiger
1232_3	pig
1232_3	goat
1232_3	cat
1232_3	chicken
1232_3	sheep
1232_3	wolf
1232_3	tiger
1232_3	lion
1232_3	elephant
1233_1	dog
1233_1	cat
1233_1	bear
1233_1	mink
1233_1	ermine
1233_1	sable
1233_1	wolf
1233_1	pig
1233_1	boar
1233_1	horse
1233_1	zebra
1233_1	hippo
1233_1	cat
1233_1	lynx
1233_1	mountain lion
1233_1	puma
1233_1	cow
1233_1	rhino
1233_1	elephant
1233_1	camel
1233_1	monkey
1233_1	orangutan
1233_1	chimp
1233_1	polar bear
1233_3	trout
1233_3	salmon
1233_3	perch
1233_3	sword fish
1233_3	marlin
1233_3	sea bass
1233_3	molk bass
1233_3	yellow perch
1233_3	alewife
1233_3	anchovy
1233_3	sardine
1233_3	grouper
1233_3	blue shark
1233_3	gray shark
1233_3	whale
1233_3	sperm whale
1233_3	blue whale
1233_3	seal
1233_3	blue
1233_3	walrus
1233_5	fish
1233_5	eel
1233_5	trout
1233_5	salmon
1233_5	catfish
1233_5	angelfish
1233_5	cow
1233_5	horse
1233_5	cod
1233_5	pig
1233_5	goat
1233_5	sheep
1233_5	lion
1233_5	mink
1233_5	tiger
1233_5	bobcat
1233_5	mountain lion
1233_5	weasel
1233_5	leopard
1233_5	chicken
1233_5	sparrow
1233_5	squirrel
1233_5	turkey
1233_7	aardvark
1233_7	albtros
1233_7	ass
1233_7	horse
1233_7	colt
1233_7	mare
1233_7	dunkey
1233_7	deer
1233_7	cow
1233_7	elk
1233_7	moose
1233_7	coyote
1233_7	beaver
1233_7	catfish
1233_7	raccoon
1233_7	mink
1233_7	weasel
1233_7	ermine
1233_7	trout
1233_7	bird
1233_7	bass
1235_2	dog
1235_2	cat
1235_2	cow
1235_2	deer
1235_2	mink
1235_2	moose
1235_2	giraffe
1235_2	lion
1235_2	tiger
1235_2	monkey
1235_2	gorilla
1235_2	snake
1235_2	cobra
1235_2	garder snake
1236_1	cat
1236_1	dog
1236_1	zebra
1236_1	hen
1236_1	buffalo
1236_1	bear
1236_1	horse
1236_1	pig
1236_1	hog
1236_1	bohr
1236_1	goat
1236_1	lamb
1236_1	lion
1236_1	tiger
1236_1	cheetah
1236_1	panther
1236_1	puma
1236_1	monkey
1236_1	mouse
1236_1	rat
1236_1	rabbit
1236_1	skunk
1236_1	woodchuck
1236_1	raccoon
1236_1	muskrat
1236_1	moose
1236_1	elk
1236_1	bear
1236_1	wolf
1236_1	coyote
1236_1	zebra
1236_1	camel
1236_1	dromedary
1236_1	giraffe
1236_1	elephant
1236_1	rhino
1236_1	hippo
1236_1	alligator
1236_1	crocodile
1236_3	cat
1236_3	dog
1236_3	rabbit
1236_3	horse
1236_3	cow
1236_3	goat
1236_3	lamb
1236_3	sheep
1236_3	ox
1236_3	yak
1236_3	kangaroo
1236_3	monkey
1236_3	lion
1236_3	tiger
1236_3	deer
1236_3	wolf
1236_3	mouse
1236_3	rat
1236_3	gerbil
1236_3	ginea pig
1236_3	pig
1236_3	donkey
1236_3	zebra
1236_3	giraffe
1236_3	camel
1236_3	bear
1236_5	cat
1236_5	dog
1236_5	cow
1236_5	horse
1236_5	fox
1236_5	lion
1236_5	tiger
1236_5	ape
