aardvark,4.484100445,30486
aardwolf,3.534280005,3422
abalone,5.065531167,116287
abeja,3.666985718,4645
addax,3.809963522,6456
adder,5.544798286,350589
adelgid,3.720737977,5257
adelie penguin,3.63738965,4339
aedes aegypti,4.464474643,29139
affenpinscher,3.222716471,1670
afghan hound,3.759516759,5748
african dog,2.444044796,278
agama,4.369605434,23421
agouti,4.729480673,53639
airedale terrier,3.56431091,3667
akita,4.611170797,40848
albacore,4.695437895,49595
albatross,5.400415368,251429
albino python,2.346352974,222
alga,5.241075574,174211
alligator,5.714162885,517801
alligator lizard,3.510813011,3242
alligator snapping turtle,3.375297738,2373
allosaurus,4.210666244,16243
alpaca,4.956917231,90556
amberjack,4.086359831,12200
amoeba,5.301420685,200180
amphibian,5.392096966,246659
amphioxus,4.795490715,62444
amphipod,4.311690301,20497
anaconda,5.282118883,191478
anchovy,5.194275622,156414
anemone,5.364160612,231292
angelfish,4.432600545,27077
anglerfish,3.884115362,7658
angora goat,4.044931546,11090
angora rabbit,3.401055726,2518
anhinga,4.258254054,18124
ankylosaur,3.409425869,2567
annelid,4.610968743,40829
anole,4.110286608,12891
ant,6.426146105,2667756
anteater,4.649130322,44579
antelope,5.845170623,700117
antelope squirrel,3.305781151,2022
anthropoid,5.046803314,111379
antlion,3.44294987,2773
apatosaurus,4.106938451,12792
ape,6.012398914,1028961
aphid,5.242866779,174931
aplysia,4.758177359,57303
appaloosa,4.542924967,34908
apple maggot,3.920592862,8329
arachnid,4.346372537,22201
arapaima,3.498861689,3154
archaea,4.706828688,50913
archeopteryx,3.37401474,2366
archosaur,3.267640982,1852
arctic char,4.053078443,11300
arctic fox,4.340543258,21905
argali,3.941511433,8740
armadillo,5.091213085,123371
armyworm,4.323272731,21051
arrowhead dogfish,0.0001,1
arrowhead shark,0.0001,1
arthropod,5.145550661,139814
ascidians,4.499700826,31601
asp,5.813126443,650319
ass,6.575836146,3765617
assassin bug,3.492201451,3106
auk,5.315189172,206628
auklet,4.009068276,10211
auroch,3.484014963,3048
australopithecine,4.491123467,30983
avian,5.648388312,445029
avocet,4.260762845,18229
axolotl,4.371381919,23517
babirusa,3.523095838,3335
baboon,5.366632115,232612
baby,7.27868644,18997062
baca,5.173366944,149062
bacteria,6.801874181,6336861
badger,5.803131956,635524
bald eagle,5.076851533,119358
baleen whale,3.734399743,5425
banana slug,3.317645543,2078
bandicoot,4.263896331,18361
bantam,5.849919148,707814
bark beetle,4.368491429,23361
barn owl,4.487746245,30743
barnacle,5.087781418,122400
barnacle goose,3.717420837,5217
barracuda,4.961862284,91593
barramundi,3.799822831,6307
barred owl,4.245833335,17613
basenji,3.874713689,7494
basilisk,4.87676037,75294
basking shark,3.921270186,8342
bass,6.631500792,4280562
basset hound,4.252003021,17865
bat,6.527307346,3367498
batfish,3.775100499,5958
bay scallop,3.544564097,3504
baya,4.257990387,18113
beaded lizard,3.415140352,2601
beagle,5.382460121,241246
beaked whale,3.973497309,9408
bear,7.366226929,23239508
bear cub,4.332094928,21483
bearcat,4.258613341,18139
bearded dragon,3.377488383,2385
bearded vulture,3.401745082,2522
beaver,6.273193014,1875828
bedbug,4.583005963,38283
bee,6.523935877,3341457
bee eater,2.957607287,907
bee moth,3.113274692,1298
beef cattle,5.225823409,168199
beefalo,3.42111013,2637
beet armyworm,3.369215857,2340
beetle,6.021866684,1051639
bellbird,3.644733927,4413
belted kingfisher,4.061075324,11510
beluga,4.716754357,52090
beluga whale,3.65195607,4487
bengal tiger,4.254403046,17964
bernese mountain dog,3.390405156,2457
bessbug,0.0001,1
beta fish,2.294466226,197
betta,4.557651542,36112
betta fish,2.146128036,140
bettong,3.09482038,1244
bichon,4.173535895,14912
bigeye,4.014604533,10342
bighorn,5.346532915,222092
bighorn sheep,4.784496044,60883
bilbies,2.921686475,835
bilby,4.289053558,19456
billfish,4.207553586,16127
billy goat,4.54174145,34813
binturong,3.446070936,2793
bird,7.119400245,13164375
