id	entry
51	cat
51	dog
51	mouse
51	rat
51	giraffe
51	lion
51	zebra
51	rhino
51	ostrich
51	meerkat
51	tiger
51	bear
51	bat
51	aardvark
51	elephant
51	flea
51	ferret
51	parrot
51	hippopotamus
51	alligator
51	crocodile
51	frog
51	whale
51	shark
51	clownfish
51	guppy
51	goldfish
51	snake
51	snail
51	deer
51	elk
51	buffalo
51	monkey
51	hyena
51	kangaroo
71	cheetah
71	panther
71	snake
71	shark
71	elephant
71	gazelle
71	deer
71	monkey
71	orangutan
71	mouse
71	hamster
71	sheep
71	horse
71	rabbit
71	squirrel
71	muskrat
71	loon
71	eagle
71	hawk
71	raven
71	bluebird
71	raptor
71	fox
71	cow
71	fisher
71	wolverine
71	badger
71	tiger
71	bronco
71	hare
71	turtle
71	crab
71	fish
71	bluegill
71	manta_ray
71	caribou
71	polar_bear
198	dog
198	cat
198	mouse
198	tiger
198	lion
198	bear
198	cheetah
198	skunk
198	raccoon
198	hamster
198	elephant
198	hippopotamus
198	alligator
198	crocodile
198	boa_constrictor
198	viper
198	rattlesnake
198	opossum
198	fox
198	deer
198	bobcat
198	bird
198	beaver
198	groundhog
198	hyena
199	dog
199	cat
199	bear
199	monkey
199	pig
199	cow
199	horse
199	turkey
199	giraffe
199	elephant
199	hippopotamus
199	tiger
199	lion
199	penguin
199	mouse
199	rat
199	hamster
199	fish
199	chicken
199	rabbit
199	goose
199	turtle
199	bird
199	frog
199	wolf
199	raccoon
199	possum
199	squirrel
199	chipmunk
199	ferret
199	duck
199	swan
199	shark
199	dolphin
199	whale
199	mountain_lion
199	gerbil
199	gorilla
199	chimpanzee
199	snake
285	deer
285	squirrel
285	rabbit
285	elk
285	moose
285	mule_deer
285	white_tailed_deer
285	blacktail_deer
285	grizzly
285	bear
285	bear
285	bear
285	mountain_goat
285	billy_goat
285	wolf
285	fox
285	coyote
285	dog
285	cat
285	rat
285	mouse
285	bird
285	cardinal
285	blue_jay
285	robin
285	blackbird
285	crow
285	turkey
285	vulture
285	eagle
285	hawk
285	mountain_lion
285	elephant
285	giraffe
285	lion
285	tiger
285	zebra
285	antelope
286	dog
286	cat
286	horse
286	cow
286	pig
286	dolphin
286	mouse
286	gerbil
286	chicken
286	goose
286	potbellied_pig
286	hamster
286	ferret
286	raccoon
286	skunk
286	squirrel
286	polar_bear
286	grizzly
286	penguin
286	seal
286	monkey
286	giraffe
286	buffalo
286	bison
286	lion
286	tiger
286	cheetah
286	gazelle
286	antelope
286	koala
286	sloth
287	dog
287	cat
287	bird
287	squirrel
287	chipmunk
287	elephant
