Animal,Category
bluefootedbooby,Birds
bluegill,Birds
bluejay,Birds
bobolink,Birds
booby,Birds
bullfinch,Birds
bunting,Birds
buzzard,Birds
canary,Birds
cardinal,Birds
chickadee,Birds
chicken,Birds
cock,Birds
cockatiel,Birds
cockatoo,Birds
crow,Birds
cuckoo,Birds
dodo,Birds
dove,Birds
drake,Birds
duck,Birds
duckling,Birds
eagle,Birds
eaglet,Birds
egret,Birds
emu,Birds
ewe,Birds
falcon,Birds
finch,Birds
flamingo,Birds
fowl,Birds
gander,Birds
goldfinch,Birds
goshawk,Birds
gosling,Birds
grebe,Birds
grouse,Birds
gull,Birds
harrier,Birds
hawk,Birds
heron,Birds
hummingbird,Birds
ibis,Birds
jackdaw,Birds
jay,Birds
kingfisher,Birds
kite,Birds
kiwi,Birds
lark,Birds
loon,Birds
macaw,Birds
mallard,Birds
merlin,Birds
mockingbird,Birds
mouse,Birds
myna,Birds
nightingale,Birds
oriole,Birds
osprey,Birds
ostrich,Birds
owl,Birds
parakeet,Birds
parrot,Birds
partridge,Birds
peacock,Birds
pelican,Birds
penguin,Birds
peregrine,Birds
pheasant,Birds
pigeon,Birds
quail,Birds
quetzal,Birds
raven,Birds
rhea,Birds
roadrunner,Birds
robin,Birds
seagull,Birds
shrike,Birds
songbird,Birds
sparrow,Birds
spoonbill,Birds
starling,Birds
stilt,Birds
stork,Birds
swallow,Birds
swallowtail,Birds
swan,Birds
swift,Birds
tanager,Birds
thrush,Birds
toucan,Birds
trumpeter,Birds
turkey,Birds
vulture,Birds
woodpecker,Birds
wren,Birds
bison,Bovine
buffalo,Bovine
bullock,Bovine
calf,Bovine
cattle,Bovine
cow,Bovine
heifer,Bovine
monitor,Bovine
muskox,Bovine
steer,Bovine
waterbuffalo,Bovine
yak,Bovine
akita,Canine
blacklab,Canine
bloodhound,Canine
bulldog,Canine
canine,Canine
chihuahua,Canine
coyote,Canine
dachshund,Canine
dalmatian,Canine
dog,Canine
fox,Canine
goldenretriever,Canine
greatdane,Canine
greyhound,Canine
harrier,Canine
husky,Canine
hyena,Canine
jackal,Canine
labradorretriever,Canine
malamute,Canine
pembrokewelshcorgi,Canine
poodle,Canine
pug,Canine
puggle,Canine
pup,Canine
shihtzu,Canine
siberianhusky,Canine
terrier,Canine
timberwolf,Canine
wilddog,Canine
wolf,Canine
blacktaileddeer,Deers
buck,Deers
caribou,Deers
deer,Deers
doe,Deers
eland,Deers
elk,Deers
fawn,Deers
gazelle,Deers
gnu,Deers
impala,Deers
moose,Deers
muledeer,Deers
reindeer,Deers
roe,Deers
stag,Deers
whitetaileddeer,Deers
wildebeest,Deers
ass,Farmanimals
billygoat,Farmanimals
bronco,Farmanimals
bullock,Farmanimals
calf,Farmanimals
chick,Farmanimals
chicken,Farmanimals
cock,Farmanimals
colt,Farmanimals
cow,Farmanimals
donkey,Farmanimals
ferret,Farmanimals
foal,Farmanimals
goat,Farmanimals
heifer,Farmanimals
hen,Farmanimals
hog,Farmanimals
horse,Farmanimals
kid,Farmanimals
lamb,Farmanimals
mare,Farmanimals
miniaturepony,Farmanimals
mule,Farmanimals
pig,Farmanimals
piglet,Farmanimals
pony,Farmanimals
potbelliedpig,Farmanimals
ram,Farmanimals
rooster,Farmanimals
sheep,Farmanimals
snake,Farmanimals
sow,Farmanimals
spider,Farmanimals
stallion,Farmanimals
turkey,Farmanimals
bengaltiger,Feline
bobcat,Feline
bull,Feline
cat,Feline
cat,Feline
cheetah,Feline
cougar,Feline
crane,Feline
jaguar,Feline
leopard,Feline
liger,Feline
lion,Feline
lynx,Feline
mountainlion,Feline
ocelot,Feline
panther,Feline
puma,Feline
siamesecat,Feline
snowleopard,Feline
snowlion,Feline
tiger,Feline
tomcat,Feline
whitetiger,Feline
wildcat,Feline
angelfish,Fish
arrowheadshark,Fish
barracuda,Fish
bass,Fish
betta,Fish
blowfish,Fish
carp,Fish
catfish,Fish
clownfish,Fish
cuttlefish,Fish
fish,Fish
flounder,Fish
freshwaterfish,Fish
goldfish,Fish
greatwhiteshark,Fish
grenadier,Fish
grouper,Fish
grunt,Fish
guppy,Fish
herring,Fish
jack,Fish
koi,Fish
lamprey,Fish
mackerel,Fish
makoshark,Fish
minnow,Fish
parrotfish,Fish
pike,Fish
pinksalmon,Fish
piranha,Fish
rainbowfish,Fish
salmon,Fish
saltwaterfish,Fish
seabass,Fish
shark,Fish
shrimp,Fish
smelt,Fish
stickleback,Fish
sturgeon,Fish
swordfish,Fish
tilapia,Fish
trout,Fish
tuna,Fish
shark,Fish
aardvark,Insectivores
anteater,Insectivores
armadillo,Insectivores
bat,Insectivores
echidna,Insectivores
hedgehog,Insectivores
mole,Insectivores
shrew,Insectivores
ant,Insects
antlion,Insects
aphid,Insects
bee,Insects
beetle,Insects
blackwidow,Insects
bug,Insects
butterfly,Insects
caterpillar,Insects
centipede,Insects
cicada,Insects
cockroach,Insects
cricket,Insects
daddylonglegs,Insects
dolphin,Insects
dragonfly,Insects
earthworm,Insects
flea,Insects
fly,Insects
gnat,Insects
grasshopper,Insects
grub,Insects
honeybee,Insects
hornet,Insects
insect,Insects
Junebeetle,Insects
ladybug,Insects
larva,Insects
leafy,Insects
louse,Insects
maggot,Insects
mealworm,Insects
mite,Insects
monarchbutterfly,Insects
mosquito,Insects
moth,Insects
pillbug,Insects
prayingmantis,Insects
scorpion,Insects
stickinsect,Insects
tarantula,Insects
termite,Insects
tick,Insects
wasp,Insects
worm,Insects
yellowjacket,Insects
badger,NorthAmericananimals
bear,NorthAmericananimals
beaver,NorthAmericananimals
bighorn,NorthAmericananimals
bison,NorthAmericananimals
blackbear,NorthAmericananimals
boar,NorthAmericananimals
bobcat,NorthAmericananimals
brownbear,NorthAmericananimals
caribou,NorthAmericananimals
chipmunk,NorthAmericananimals
cougar,NorthAmericananimals
cub,NorthAmericananimals
deer,NorthAmericananimals
elk,NorthAmericananimals
fox,NorthAmericananimals
grizzlybear,NorthAmericananimals
kodiakbear,NorthAmericananimals
moose,NorthAmericananimals
mountaingoat,NorthAmericananimals
mountainlion,NorthAmericananimals
puma,NorthAmericananimals
rabbit,NorthAmericananimals
raccoon,NorthAmericananimals
skunk,NorthAmericananimals
squirrel,NorthAmericananimals
wolf,NorthAmericananimals
budgie,Pets
canary,Pets
cat,Pets
cockatiel,Pets
cockatoo,Pets
dog,Pets
gerbil,Pets
goldenretriever,Pets
goldfish,Pets
guineapig,Pets
guppy,Pets
hamster,Pets
kitten,Pets
labradorretriever,Pets
malamute,Pets
parakeet,Pets
parrot,Pets
poodle,Pets
puppy,Pets
rabbit,Pets
ape,Primates
baboon,Primates
bonobo,Primates
chimpanzee,Primates
gibbon,Primates
gorilla,Primates
howlermonkey,Primates
human,Primates
lemur,Primates
loris,Primates
marmoset,Primates
monkey,Primates
orangutan,Primates
primates,Primates
sakimonkey,Primates
shrew,Primates
snowmonkey,Primates
spidermonkey,Primates
titi,Primates
bunny,Rabbits
coney,Rabbits
hare,Rabbits
jackrabbit,Rabbits
rabbit,Rabbits
adder,Reptiles/Amphibians
alligator,Reptiles/Amphibians
amphibian,Reptiles/Amphibians
anaconda,Reptiles/Amphibians
anole,Reptiles/Amphibians
asp,Reptiles/Amphibians
blackmamba,Reptiles/Amphibians
boaconstrictor,Reptiles/Amphibians
bullfrog,Reptiles/Amphibians
caiman,Reptiles/Amphibians
chameleon,Reptiles/Amphibians
cobra,Reptiles/Amphibians
crocodile,Reptiles/Amphibians
diamondback,Reptiles/Amphibians
dinosaur,Reptiles/Amphibians
dragon,Reptiles/Amphibians
frog,Reptiles/Amphibians
gardensnake,Reptiles/Amphibians
gecko,Reptiles/Amphibians
godzilla,Reptiles/Amphibians
iguana,Reptiles/Amphibians
komododragon,Reptiles/Amphibians
lizard,Reptiles/Amphibians
moccasin,Reptiles/Amphibians
newt,Reptiles/Amphibians
python,Reptiles/Amphibians
rattlesnake,Reptiles/Amphibians
reptile,Reptiles/Amphibians
salamander,Reptiles/Amphibians
serpent,Reptiles/Amphibians
snake,Reptiles/Amphibians
toad,Reptiles/Amphibians
tortoise,Reptiles/Amphibians
treefrog,Reptiles/Amphibians
turtle,Reptiles/Amphibians
velociraptor,Reptiles/Amphibians
viper,Reptiles/Amphibians
