Category,snafu_animal,in_vocab,Item,levenstein_distance
Water,christmastreeworm,FALSE,christmas tree worm,2
Water,coralreefsnake,FALSE,coral reef snake,2
Worms,christmastreeworm,FALSE,christmas tree worm,2
African,africandog,FALSE,african dog,1
African,blackmamba,FALSE,black mamba,1
African,bushsquirrel,FALSE,bush squirrel,1
African,capebuffalo,FALSE,cape buffalo,1
Asian,tarsier,TRUE,tarsier,0
Australian,bandicoot,TRUE,bandicoot,0
African,dikdik,FALSE,dik-dik,1
Australian,budgerigar,TRUE,budgerigar,0
Australian,cuscus,TRUE,cuscus,0
Australian,devil,TRUE,devil,0
Australian,dingo,TRUE,dingo,0
Australian,duckbill,TRUE,duckbill,0
Australian,emu,TRUE,emu,0
Australian,goanna,TRUE,goanna,0
African,easterntoebiter,FALSE,eastern toebiter,1
Australian,kangaroo,TRUE,kangaroo,0
Australian,kiwi,TRUE,kiwi,0
Australian,koala,TRUE,koala,0
Australian,kookaburra,TRUE,kookaburra,0
Australian,lionfish,TRUE,lionfish,0
Australian,lorikeet,TRUE,lorikeet,0
Australian,marsupial,TRUE,marsupial,0
Australian,platypus,TRUE,platypus,0
Australian,possum,TRUE,possum,0
Australian,prawn,TRUE,prawn,0
African,fennecfox,FALSE,fennec fox,1
African,fiddlercrab,FALSE,fiddler crab,1
African,fisheagle,FALSE,fish eagle,1
African,fruitbat,FALSE,fruit bat,1
Australian,wallaby,TRUE,wallaby,0
Australian,wallaroo,TRUE,wallaroo,0
Australian,wombat,TRUE,wombat,0
BeastsOfBurden,ass,TRUE,ass,0
BeastsOfBurden,burro,TRUE,burro,0
BeastsOfBurden,camel,TRUE,camel,0
BeastsOfBurden,clydesdale,TRUE,clydesdale,0
BeastsOfBurden,colt,TRUE,colt,0
BeastsOfBurden,donkey,TRUE,donkey,0
BeastsOfBurden,dromedary,TRUE,dromedary,0
BeastsOfBurden,horse,TRUE,horse,0
BeastsOfBurden,llama,TRUE,llama,0
BeastsOfBurden,mare,TRUE,mare,0
BeastsOfBurden,mule,TRUE,mule,0
BeastsOfBurden,mustang,TRUE,mustang,0
BeastsOfBurden,ox,TRUE,ox,0
BeastsOfBurden,pony,TRUE,pony,0
African,huntsmanspider,FALSE,huntsman spider,1
BeastsOfBurden,trotter,TRUE,trotter,0
BeastsOfBurden,yak,TRUE,yak,0
BeastsOfBurden,zebu,TRUE,zebu,0
